seriesID,year,period,value
CES0000000001,2024,M11,159288
CES0000000001,2024,M10,159061
CES0000000001,2024,M09,159025
CES0000000001,2024,M08,158770
CES0000000001,2024,M07,158692
CES0000000001,2024,M06,158548
CES0000000001,2024,M05,158430
CES0000000001,2024,M04,158214
CES0000000001,2024,M03,158106
CES0000000001,2024,M02,157796
CES0000000001,2024,M01,157560
CES0000000001,2023,M12,157304
CES0000000001,2023,M11,157014
LNS14000000,2024,M11,4.2
LNS14000000,2024,M10,4.1
LNS14000000,2024,M09,4.1
LNS14000000,2024,M08,4.2
LNS14000000,2024,M07,4.3
LNS14000000,2024,M06,4.1
LNS14000000,2024,M05,4.0
LNS14000000,2024,M04,3.9
LNS14000000,2024,M03,3.8
LNS14000000,2024,M02,3.9
LNS14000000,2024,M01,3.7
LNS14000000,2023,M12,3.7
LNS14000000,2023,M11,3.7
CUUR0000SA0,2024,M11,315.493
CUUR0000SA0,2024,M10,315.664
CUUR0000SA0,2024,M09,315.301
CUUR0000SA0,2024,M08,314.796
CUUR0000SA0,2024,M07,314.540
CUUR0000SA0,2024,M06,314.175
CUUR0000SA0,2024,M05,314.069
CUUR0000SA0,2024,M04,313.548
CUUR0000SA0,2024,M03,312.332
CUUR0000SA0,2024,M02,310.326
CUUR0000SA0,2024,M01,308.417
CUUR0000SA0,2023,M12,306.746
CUUR0000SA0,2023,M11,307.051
WPUFD4,2024,M11,146.093
WPUFD4,2024,M10,145.997
WPUFD4,2024,M09,145.523
WPUFD4,2024,M08,145.566
WPUFD4,2024,M07,145.264
WPUFD4,2024,M06,145.321
WPUFD4,2024,M05,144.504
WPUFD4,2024,M04,144.563
WPUFD4,2024,M03,143.784
WPUFD4,2024,M02,143.260
WPUFD4,2024,M01,142.186
WPUFD4,2023,M12,141.267
WPUFD4,2023,M11,141.869
